Marca temporal,¿Cuántos años tenés?,,¿Cuál es tu género?,Me siento calmado,Me siento seguro,Estoy tenso,Estoy contrariado (malhumorado o disgustado),Me siento cómodo (estoy a gusto),Estoy preocupado ahora por posibles desgracias futuras,Me siento descansado,Me siento angustiado,Me siento confortable,Tengo confianza en mi mismo,Me siento nervioso,Estoy desasosegado (agitado e inquieto),Me siento muy “atado” (como oprimido),Estoy relajado,Me siento satisfecho,Estoy preocupado,Me siento aturdido y sobreexcitado,Me siento alegre,En este momento me siento bien
7/07/2021 14:37:25,Entre 10 y 14,,Bi-generó ,Nada (0),Un poco (1),Mucho (3),Nada (0),Nada (0),Nada (0),Nada (0),Un poco (1),Un poco (1),Nada (0),Nada (0),Un poco (1),Un poco (1),Nada (0),Nada (0),Nada (0),Nada (0),Un poco (1),Un poco (1)
7/07/2021 10:23:02,Entre 25 y 40,,Hombre,Bastante (2),Bastante (2),Nada (0),Nada (0),Bastante (2),Nada (0),Un poco (1),Un poco (1),Bastante (2),Mucho (3),Un poco (1),Nada (0),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (2)
7/07/2021 10:28:16,Entre 25 y 40,,Hombre,Bastante (2),Mucho (3),Nada (0),Un poco (1),Mucho (3),Un poco (1),Bastante (2),Nada (0),Bastante (2),Mucho (3),Nada (0),Nada (0),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Mucho (3),Mucho (3)
7/07/2021 10:58:41,Entre 14 y 18,,Hombre,Bastante (2),Bastante (2),Un poco (1),Un poco (1),Mucho (3),Un poco (1),Un poco (1),Nada (0),Bastante (2),Mucho (3),Un poco (1),Nada (0),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Mucho (3)
7/07/2021 11:25:01,Entre 14 y 18,,Hombre,Bastante (2),Mucho (3),Nada (0),Un poco (1),Mucho (3),Mucho (2),Mucho (3),Nada (0),Bastante (2),Mucho (3),Un poco (1),Nada (0),Bastante (2),Mucho (3),Bastante (2),Un poco (1),Nada (0),Bastante (2),Mucho (3)
7/07/2021 11:28:28,Entre 14 y 18,,Hombre,Bastante (2),Bastante (2),Un poco (1),Bastante (2),Bastante (2),Bastante (3),Un poco (1),Bastante (2),Un poco (1),Mucho (3),Mucho (3),Un poco (1),Nada (0),Bastante (2),Bastante (2),Bastante (2),Nada (0),Un poco (1),Un poco (1)
7/07/2021 11:28:44,Entre 14 y 18,,Hombre,Un poco (1),Bastante (2),Un poco (1),Nada (0),Bastante (2),Mucho (2),Mucho (3),Un poco (1),Nada (0),Bastante (2),Nada (0),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Un poco (1),Bastante (2),Un poco (1)
7/07/2021 11:30:13,Entre 14 y 18,,Hombre,Bastante (2),Mucho (3),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Mucho (3),Un poco (1),Nada (0),Nada (0),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Bastante (2)
7/07/2021 11:30:39,Entre 14 y 18,,Hombre,Bastante (2),Un poco (1),Un poco (1),Un poco (1),Mucho (3),Bastante (3),Un poco (1),Nada (0),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (2)
7/07/2021 11:30:46,Entre 14 y 18,,Hombre,Bastante (2),Bastante (2),Un poco (1),Un poco (1),Mucho (3),Mucho (2),Bastante (2),Nada (0),Mucho (3),Mucho (3),Un poco (1),Nada (0),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Mucho (3),Mucho (3)
7/07/2021 11:31:14,Entre 14 y 18,,Hombre,Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (2)
7/07/2021 11:32:25,Entre 18 y 25,,Hombre,Un poco (1),Bastante (2),Un poco (1),Nada (0),Bastante (2),Nada (0),Mucho (3),Nada (0),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Nada (0),Un poco (1),Nada (0),Nada (0),Nada (0),Un poco (1),Un poco (1)
